媒介,标题,创作者,分类,状态,评分,标签,一句话短评,长评,封面链接,开始日期,完成日期,购入渠道,存放位置,装帧/形态,价格
番剧,野良神,田村耕太郎 · BONES 骨头社,神魔奇幻,wishlist,,待看清单、骨头社、五元神明、夜斗,只需五元香火钱，实现你所有愿望的无家可归神明夜斗。,加入个人待看追番清单,https://lain.bgm.tv/pic/cover/l/ee/de/82572_PNW44.jpg,,,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,请问您今天要来点兔子吗？,桥本裕之 · WHITE FOX,萌系日常,wishlist,,待看清单、点兔、保登心爱、香风智乃,充满咖啡香气与温暖兔子的木造小镇日常生活。,加入个人待看追番清单,https://lain.bgm.tv/pic/cover/l/9f/2f/88287_h4xKo.jpg,,,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,干物妹！小埋,太田雅彦 · 动画工房,搞笑日常,wishlist,,待看清单、小埋、披着仓鼠斗篷、可乐薯片,在外完美无瑕的高中女神，回家立刻化身二头身吃零食打游戏！,加入个人待看追番清单,https://lain.bgm.tv/pic/cover/l/27/da/212775_as9It.jpg,,,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,逆转裁判,渡边步 · A-1 Pictures,法庭推理,wishlist,,待看清单、成步堂龙一、异议阿里、法庭对决,异议あり！在绝境中寻找证据的唯一矛盾，彻底逆转法庭！,加入个人待看追番清单,https://lain.bgm.tv/pic/cover/l/6b/13/146737_1rwbd.jpg,,,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,杀戮天使,铃木健太郎 · J.C.STAFF,悬疑逃脱,wishlist,,待看清单、Angels of Death、扎克、瑞吉儿,誓言与杀戮的约定，从这栋封闭的大楼深处逃出生天。,加入个人待看追番清单,https://lain.bgm.tv/pic/cover/l/1a/b7/220566_0CMxK.jpg,,,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,多罗罗,古桥一浩 · MAPPA / 手冢Production,暗黑武侠,wishlist,,待看清单、手冢治虫、百鬼丸、夺回身体,被魔神夺走四十八处器官的少年，在战国乱世中斩魔夺回肉身。,加入个人待看追番清单,https://lain.bgm.tv/pic/cover/l/33/23/503698_iJLgN.jpg,,,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,葬送的芙莉莲,斋藤圭一郎 · Madhouse,史诗治愈,wishlist,,待看清单、年度霸权、千年精灵、勇者辛美尔,在打倒魔王之后的漫长岁月里，长生精灵芙莉莲重新踏上体会人心的旅程。,加入个人待看追番清单,https://lain.bgm.tv/pic/cover/l/13/c5/400602_ZI8Y9.jpg,,,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,超时空要塞,河森正治 · Satelight,机甲歌姬,wishlist,,待看清单、超时空要塞、战术音乐、女武神,歌声能跨越宇宙的硝烟，机甲与歌姬唱响银河最后的恋歌。,加入个人待看追番清单,https://lain.bgm.tv/pic/cover/l/e8/25/3173_IM2X2.jpg,,,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,辉夜大小姐想让我告白,畠山守 · A-1 Pictures,恋爱喜剧,wishlist,,待看清单、天才们的恋爱头脑战、辉夜与会长,先告白的人就是输家！秀知院学园两位顶级天才的傲娇智斗恋爱。,加入个人待看追番清单,https://lain.bgm.tv/pic/cover/l/cf/9c/317613_bpGX4.jpg,,,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
书籍,小王子,圣埃克苏佩里,文学名著,读完,5.0,童话、治愈、哲学、经典,正因为你为你的玫瑰花费了时间，这才使你的玫瑰变得如此重要。,这是一本写给所有曾经是小孩的大人的童话。它用最纯净的语言，道出了人世间最深刻的真理：爱是驯服与责任，唯有用心才能看清本质。,https://lain.bgm.tv/pic/cover/l/80/9d/470322_nAZAP.jpg,2026-06-01,2026-06-15,上海独立书店 · 季风书园,书架第1层 · 治愈精神馆,精装全彩插图典藏本,45.0
书籍,百年孤独,加西亚·马尔克斯,拉美文学,读完,5.0,魔幻现实、拉美、家族史诗、经典,多年以后，面对行刑队，奥雷里亚诺·布恩迪亚上校将会回想起父亲带他去见识冰块的那个遥远的下午。,魔幻现实主义的巅峰神作。七代人的宿命轮回，将人类无法摆脱的孤独、激情、荒诞与历史遗忘写到了极致。,https://img1.doubanio.com/view/subject/l/public/s27237850.jpg,2026-06-01,2026-06-15,京东自营 · 范晔译本,书架第2层 · 拉美魔幻现实,精装布面烫金,59.8
书籍,三体,刘慈欣,科幻小说,读完,5.0,硬核科幻、宇宙文明、硬科幻、经典,给岁月以文明，而不是给文明以岁月。,中国科幻的巍峨丰碑。从红岸基地的第一声啼鸣到整个宇宙的黑暗森林法则，宏大的想象力与冷峻的文明思考令人叹为观止。,https://img1.doubanio.com/view/subject/l/public/s2768378.jpg,2026-06-01,2026-06-15,科幻世界特约渠道,书架第1层 · 硬核科幻神作,精装硬壳纪念版,52.0
书籍,1984,乔治·奥威尔,反乌托邦,wishlist,,反乌托邦、文学名著、经典,战争即和平，自由即奴役，无知即力量。,经典文学名著 · 收录于《阅痕》书单,https://img1.doubanio.com/view/subject/l/public/s4371408.jpg,,,,,,
书籍,鼠疫,加缪,存在主义,wishlist,,存在主义、文学名著、经典,在这个世界上存在着瘟疫，也存在着受害者，我们应当尽量不站在瘟疫一边。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/c1/ea/310634_R3bhR.jpg,,,,,,
书籍,动物农场,乔治·奥威尔,政治讽喻,wishlist,,政治讽喻、文学名著、经典,所有动物生来平等，但有些动物比其他动物更平等。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/52/5b/123576_9yR5T.jpg,,,,,,
书籍,诡计博物馆,大山诚一郎,本格推理,wishlist,,本格推理、文学名著、经典,封印二十年的悬案，在赤色博物馆内被纯粹的逻辑瞬间洞穿。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/78/2d/448954_xcxFM.jpg,,,,,,
书籍,霍乱时期的爱情,马尔克斯,拉美文学,wishlist,,拉美文学、文学名著、经典,跨越半个多世纪的等待，换来的是船头上那面永不落下的霍乱黄旗。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/ff/5d/556855_7hv2O.jpg,,,,,,
书籍,悲惨世界,雨果,法国文学,wishlist,,法国文学、文学名著、经典,释放无限光明的是人心，制造无边黑暗的也是人心。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/87/14/156904_qYLyb.jpg,,,,,,
书籍,四世同堂,老舍,华语经典,wishlist,,华语经典、文学名著、经典,小羊圈胡同的悲欢离合，记录了抗战时期北平底层百姓的风骨与苦难。,经典文学名著 · 收录于《阅痕》书单,https://img3.doubanio.com/view/subject/l/public/s3424257.jpg,,,,,,
书籍,西西弗神话,加缪,哲学思辨,wishlist,,哲学思辨、文学名著、经典,登上顶峰的斗争足以充实一个人的心灵，我们应当想象西西弗是幸福的。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/63/26/635490_d6ekH.jpg,,,,,,
书籍,挪威的森林,村上春树,日本文学,wishlist,,日本文学、文学名著、经典,每个人都有属于自己的一片森林，迷失的人迷失了，相逢的人会再相逢。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/6d/0f/920_85mPM.jpg,,,,,,
书籍,老人与海,海明威,欧美文学,wishlist,,欧美文学、文学名著、经典,人不是生来要给打败的，一个人可以被毁灭，但不能被打败。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/c2/df/156705_3VOdt.jpg,,,,,,
书籍,上帝掷骰子吗,曹天元,硬核科普,wishlist,,硬核科普、文学名著、经典,这是一部波澜壮阔的量子力学史，带你走进人类认知最神秘的微观微境。,经典文学名著 · 收录于《阅痕》书单,https://img9.doubanio.com/view/subject/l/public/s1486674.jpg,,,,,,
书籍,全员嫌疑人,大山诚一郎,密室推理,wishlist,,密室推理、文学名著、经典,快节奏的逻辑推演，当所有人都被怀疑时，唯有华丽的诡计才能破解真相。,经典文学名著 · 收录于《阅痕》书单,https://img9.doubanio.com/view/subject/l/public/s34002344.jpg,,,,,,
书籍,绝叫,叶真中显,社会派推理,wishlist,,社会派推理、文学名著、经典,从普通家庭女性滑向无底深渊，一部令人窒息的平成时代生存绝叫。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/d0/9c/337991_HTm3A.jpg,,,,,,
书籍,人类简史,尤瓦尔·赫拉利,历史哲学,wishlist,,历史哲学、文学名著、经典,认知革命、农业革命与科学革命，虚构故事的能力让人类成为了地球的主宰。,经典文学名著 · 收录于《阅痕》书单,https://img3.doubanio.com/view/subject/l/public/s27814883.jpg,,,,,,
书籍,时间简史,霍金,宇宙科普,wishlist,,宇宙科普、文学名著、经典,探寻黑洞、奇点与时间箭头的终极奥秘，仰望星空的最璀璨思想。,经典文学名著 · 收录于《阅痕》书单,https://img2.doubanio.com/view/subject/l/public/s1914861.jpg,,,,,,
书籍,经济学原理,曼昆,经济社会,wishlist,,经济社会、文学名著、经典,人们面临权衡取舍，某种东西的成本就是为了得到它所放弃的东西。,经典文学名著 · 收录于《阅痕》书单,https://img2.doubanio.com/view/subject/l/public/s33698881.jpg,,,,,,
书籍,廊桥遗梦,沃勒,情感文学,wishlist,,情感文学、文学名著、经典,这样确切的爱，一生只有一次。麦迪逊桥头的四天，刻骨铭心的一生。,经典文学名著 · 收录于《阅痕》书单,https://img1.doubanio.com/view/subject/l/public/s28806260.jpg,,,,,,
书籍,社会心理学,迈尔斯,心理学,wishlist,,心理学、文学名著、经典,探索群体对个体的影响、态度与从众、偏见与利他，看透人际关系的本质。,经典文学名著 · 收录于《阅痕》书单,https://img3.doubanio.com/view/subject/l/public/s1670932.jpg,,,,,,
书籍,在细雨中呼喊,余华,华语经典,wishlist,,华语经典、文学名著、经典,在江南细雨中回望童年与成长的创伤，记忆像水草一样在时间的河流里摇曳。,经典文学名著 · 收录于《阅痕》书单,https://img2.doubanio.com/view/subject/l/public/s34569411.jpg,,,,,,
书籍,白夜行,东野圭吾,推理悬疑,wishlist,,推理悬疑、文学名著、经典,我的天空里没有太阳，总是黑夜，但并不暗，因为有东西代替了太阳。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/14/58/6686_zXCXz.jpg,,,,,,
书籍,局外人,加缪,存在主义,wishlist,,存在主义、文学名著、经典,今天，妈妈死了。也许是昨天，我不知道。对这荒谬世界的清醒抗争。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/0a/b9/136481_i538r.jpg,,,,,,
书籍,许三观卖血记,余华,华语经典,wishlist,,华语经典、文学名著、经典,一盘炒猪肝，二两黄酒，用身体的鲜血托起一个家庭所有风雨的坚韧史诗。,经典文学名著 · 收录于《阅痕》书单,https://img1.doubanio.com/view/subject/l/public/s24575140.jpg,,,,,,
书籍,解忧杂货店,东野圭吾,温暖治愈,wishlist,,温暖治愈、文学名著、经典,如果把你的地图比作白纸，正因为是一张白纸，才可以随心所欲地描绘地图。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/42/11/177164_jp.jpg,,,,,,
书籍,无人生还,阿加莎·克里斯蒂,孤岛推理,wishlist,,孤岛推理、文学名著、经典,十个印第安小男孩，孤岛之上的审判与童谣谋杀，本格推理的巅峰神作。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/d4/f9/396073_GO8H4.jpg,,,,,,
书籍,蛇结,莫里亚克,法国文学,wishlist,,法国文学、文学名著、经典,人心如同纠缠在一起的蛇结，唯有爱与宽恕才能解开这深重的仇恨。,经典文学名著 · 收录于《阅痕》书单,https://img1.doubanio.com/view/subject/l/public/s35106938.jpg,,,,,,
书籍,我是猫,夏目漱石,日本文学,wishlist,,日本文学、文学名著、经典,我是猫，还没有名字。以一只猫的独特视角，辛辣审视明治时代文人与社会的百态。,经典文学名著 · 收录于《阅痕》书单,https://img9.doubanio.com/view/subject/l/public/s2507284.jpg,,,,,,
书籍,罗生门,芥川龙之介,日本文学,wishlist,,日本文学、文学名著、经典,在暮色昏暗的罗生门下，每个人都在以谎言掩盖自己丑陋的利己本能。,经典文学名著 · 收录于《阅痕》书单,https://img1.doubanio.com/view/subject/l/public/s3435158.jpg,,,,,,
书籍,活着,余华,华语经典,wishlist,,华语经典、文学名著、经典,人是为活着本身而活着的，而不是为了活着之外的任何事物所活着。,经典文学名著 · 收录于《阅痕》书单,https://img9.doubanio.com/view/subject/l/public/s29869926.jpg,,,,,,
书籍,月亮与六便士,毛姆,欧美文学,wishlist,,欧美文学、文学名著、经典,满地都是六便士，他却抬头看见了月亮。为了艺术狂热抛弃一切的追寻。,经典文学名著 · 收录于《阅痕》书单,https://img1.doubanio.com/view/subject/l/public/s29634528.jpg,,,,,,
书籍,罪与罚,陀思妥耶夫斯基,俄苏文学,wishlist,,俄苏文学、文学名著、经典,从高傲的超人理论到灵魂的受难救赎，人类心灵最深处的激烈交战。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/d3/45/477180_I9dd9.jpg,,,,,,
书籍,消失的十三级台阶,高野和明,社会派推理,wishlist,,社会派推理、文学名著、经典,踏上死刑台阶前的生死追凶，直击死刑制度与人性救赎的最震撼思索。,经典文学名著 · 收录于《阅痕》书单,https://img1.doubanio.com/view/subject/l/public/s34070178.jpg,,,,,,
书籍,同名同姓受害者协会,下村敦史,社会悬疑,wishlist,,社会悬疑、文学名著、经典,同名同姓带来的网络暴力与偏见审判，一场直击现代互联网生态的悬疑悲剧。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/de/51/602142_O20ve.jpg,,,,,,
书籍,呼啸山庄,艾米莉·勃朗特,古典名著,wishlist,,古典名著、文学名著、经典,荒原上的狂野爱恨，希斯克利夫超越生死与坟墓的终极执念。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/66/02/127782_bSf0j.jpg,,,,,,
书籍,蛤蟆先生去看心理医生,罗伯特·戴博德,心理成长,wishlist,,心理成长、文学名著、经典,探索儿童自我状态、父母自我状态与成人自我状态，找回属于自己的力量。,经典文学名著 · 收录于《阅痕》书单,https://img1.doubanio.com/view/subject/l/public/s33941998.jpg,,,,,,
书籍,帷幕,阿加莎·克里斯蒂,古典推理,wishlist,,古典推理、文学名著、经典,大侦探波洛的谢幕之战，以生命为代价完成对完美罪犯的终极审判。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/3e/10/411619_m8E7V.jpg,,,,,,
书籍,一个叫欧维的男人决定去死,巴克曼,温情治愈,wishlist,,温情治愈、文学名著、经典,一个固执刻板的孤独老头，被一群吵闹的邻居拯救并重新爱上人间的温情旅程。,经典文学名著 · 收录于《阅痕》书单,https://img1.doubanio.com/view/subject/l/public/s29071620.jpg,,,,,,
书籍,傲慢与偏见,简·奥斯汀,古典名著,wishlist,,古典名著、文学名著、经典,傲慢让别人无法来爱我，偏见让我无法去爱别人。达西与伊丽莎白的真爱和解。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/d2/85/426638_51raR.jpg,,,,,,
书籍,恶意,东野圭吾,心理推理,wishlist,,心理推理、文学名著、经典,就算赌上我这一生，我也要将你拉入无间地狱。毫无由来的深渊恶意。,经典文学名著 · 收录于《阅痕》书单,https://img2.doubanio.com/view/subject/l/public/s34092441.jpg,,,,,,
书籍,边城,沈从文,华语经典,wishlist,,华语经典、文学名著、经典,这个人也许永远不回来了，也许‘明天’回来！湘西茶峒的纯美风土与凄美爱恋。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/69/af/458438_5Co5t.jpg,,,,,,
书籍,斜阳,太宰治,日本文学,wishlist,,日本文学、文学名著、经典,在没落贵族的残照中，向旧道德决裂，用生命的微光进行最后的革命。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/17/e0/501590_ppwOL.jpg,,,,,,
书籍,基督山伯爵,大仲马,传奇冒险,wishlist,,传奇冒险、文学名著、经典,人类的一切智慧都包含在这四个字里面：‘等待’和‘希望’。快意恩仇的传奇史诗。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/f3/75/116740_5OoZG.jpg,,,,,,
书籍,人间失格,太宰治,日本文学,wishlist,,日本文学、文学名著、经典,生而为人，我很抱歉。叶藏以小丑的面具应付人间，在脆弱中走向毁灭。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/02/34/2176_2866n.jpg,,,,,,
书籍,ABC谋杀案,阿加莎·克里斯蒂,本格推理,wishlist,,本格推理、文学名著、经典,按照字母表顺序展开的连环谋杀，波洛用灰色脑细胞破解最巧妙的掩饰诡计。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/2b/c3/218090_H70Fk.jpg,,,,,,
书籍,春雪,三岛由纪夫,丰饶之海,wishlist,,丰饶之海、文学名著、经典,清显与聪子之间凄美禁忌的恋情，大正时代绚烂优雅又易碎的贵族挽歌。,经典文学名著 · 收录于《阅痕》书单,https://img3.doubanio.com/view/subject/l/public/s4418737.jpg,,,,,,
书籍,追风筝的人,胡赛尼,成长救赎,wishlist,,成长救赎、文学名著、经典,为你，千千万万遍。在喀布尔蓝天下的风筝与漫长一生的罪咎救赎。,经典文学名著 · 收录于《阅痕》书单,https://img1.doubanio.com/view/subject/l/public/s1727290.jpg,,,,,,
书籍,战争与和平,列夫·托尔斯泰,俄苏文学,wishlist,,俄苏文学、文学名著、经典,俄罗斯辽阔大地上五大家族的命运交织，人类历史长河与个人意志的史诗巨著。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/63/da/172940_jHsTY.jpg,,,,,,
书籍,生死疲劳,莫言,魔幻现实,wishlist,,魔幻现实、文学名著、经典,西门闹经历六道轮回转世为驴、牛、猪、狗、猴，见证半个世纪中国乡土风云变幻。,经典文学名著 · 收录于《阅痕》书单,https://img9.doubanio.com/view/subject/l/public/s35289336.jpg,,,,,,
书籍,谋杀启事,阿加莎·克里斯蒂,古典推理,wishlist,,古典推理、文学名著、经典,报纸上赫然刊登的谋杀预告游戏，马普尔小姐在宁静乡村中洞察人性隐秘。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/42/cf/410675_Vx37q.jpg,,,,,,
书籍,雾都孤儿,狄更斯,英国文学,wishlist,,英国文学、文学名著、经典,在十九世纪伦敦的阴暗底层与贼窝里，纯真少年奥利弗对善良与尊严的执着追求。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/94/0b/143159_b135f.jpg,,,,,,
书籍,人间椅子,江户川乱步,猎奇推理,wishlist,,猎奇推理、文学名著、经典,藏身于扶手椅中的制椅匠，在触觉与暗处的窥视中谱写惊悚奇异的幻觉物语。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/6a/a1/612863_HxOOQ.jpg,,,,,,
书籍,雪国,川端康成,新感觉派,wishlist,,新感觉派、文学名著、经典,穿过县界长长的隧道，便是雪国。夜空下一片白茫茫，驹子与岛村徒劳而纯粹的凄美物语。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/1a/12/366887_6e7e8.jpg,,,,,,
书籍,伊豆的舞女,川端康成,新感觉派,wishlist,,新感觉派、文学名著、经典,少年的孤独与伊豆山道上舞女熏子的纯真目光，洗净了青春所有阴翳的清冽散文诗。,经典文学名著 · 收录于《阅痕》书单,https://lain.bgm.tv/pic/cover/l/29/46/296767_0oKUU.jpg,,,,,,
游戏,艾尔登法环,FromSoftware · 宫崎英高 / 乔治·马丁,魂系神作,读完,5.0,年度最佳、魂系开放世界、交界地、宫崎英高、神作,落叶跳费，黄金树将庇护你我。愿引导之光与你同在，褪色者啊，成为艾尔登之王吧！,开放世界箱庭设计的最高巅峰。从宁姆格福的晨光到黄金树脚下的律动，交界地的每一寸土地都回荡着神话破灭的史诗挽歌。,https://cdn.akamai.steamstatic.com/steam/apps/1245620/library_600x900.jpg,2026-07-15,2026-08-10,Steam 平台 · 正版入库,展厅第5层 · 电子游戏神作馆,Steam 数字豪华版,
游戏,黑神话：悟空,游戏科学 Game Science · 冯骥 / 杨奇,动作角色扮演,读完,5.0,国产3A丰碑、东方神话、西游后传、动作RPG、大圣归来,踏过三界宝刹，阅尽九洲繁华。若不披上这身袈裟，唯恐负了这世间苍生。,国产 3A 游戏的划时代里程碑。顶级的东方魔幻美术、深邃的西游后传叙事与酣畅淋漓的棍法变身，圆了无数国人的大圣之梦。,https://cdn.akamai.steamstatic.com/steam/apps/2358720/library_600x900.jpg,2026-07-15,2026-08-10,Steam 平台 · 正版入库,展厅第5层 · 电子游戏神作馆,Steam 数字豪华版,
游戏,只狼：影逝二度,FromSoftware · 宫崎英高,硬核动作,读完,5.0,年度最佳、拼刀打铁、苇名弦一郎、硬核动作、断绝不死,犹豫就会败北！苇名一心。忍者的宿命，唯有侍奉唯一之主。,冷兵器打铁音律的极致快感。弹刀见招拆招的压迫感与唯美苍凉的苇名古国风貌，将武士道与不死宿命展现得淋漓尽致。,https://cdn.akamai.steamstatic.com/steam/apps/814380/library_600x900.jpg,2026-07-15,2026-08-10,Steam 平台 · 正版入库,展厅第5层 · 电子游戏神作馆,Steam 数字豪华版,
游戏,DARK SOULS™ III,FromSoftware · 宫崎英高,魂系神作,读完,5.0,黑魂3、传火时代、无火余灰、薪王们、魂系巅峰,灰烬大人，愿初火将您引向终焉。传火的漫长时代在此落幕。,黑魂三部曲的终极史诗篇章。传火祭祀场中回荡的管风琴声与洛斯里克高墙，将不死人的宿命升华为永恒赞歌。,https://cdn.akamai.steamstatic.com/steam/apps/374320/library_600x900.jpg,2026-07-15,2026-08-10,Steam 平台 · 正版入库,展厅第5层 · 电子游戏神作馆,Steam 数字豪华版,
游戏,DARK SOULS™: REMASTERED,FromSoftware,魂系始祖,读完,5.0,魂系鼻祖、赞美太阳、罗德兰、传火祭祀场,赞美太阳！罗德兰古国的立体地图设计，魂系梦开始的地方。,传火神话的开山之作。无缝垂直立体的罗德兰地图设计被奉为游戏关卡设计的无上教科书。,https://cdn.akamai.steamstatic.com/steam/apps/570940/library_600x900.jpg,2026-07-15,2026-08-10,Steam 平台 · 正版入库,展厅第5层 · 电子游戏神作馆,Steam 数字豪华版,
游戏,DARK SOULS™ II: Scholar of the First Sin,FromSoftware,魂系经典,读完,4.8,原罪学者、多兰古雷格、安迪尔、黑魂2,超越光明，超越黑暗。在受诅咒的命运之外，找寻全新的归途。,多兰古雷格王国的宏大悲剧，探讨人性诅咒与原罪深度的厚重史诗。,https://cdn.akamai.steamstatic.com/steam/apps/335300/library_600x900.jpg,2026-07-15,2026-08-10,Steam 平台 · 正版入库,展厅第5层 · 电子游戏神作馆,Steam 数字豪华版,
游戏,Devil May Cry 5,CAPCOM · 伊津野英昭,硬核动作,读完,4.9,动作天花板、CAPCOM、SSS连招、阎魔刀、华丽摇滚,抛弃所有平庸，以 SSS 级的华丽姿态撕碎恶魔！但丁、尼禄与维吉尔的宿命合奏。,动作游戏（ACT）领域的皇冠明珠。顶尖的 RE 引擎画面、深度极高的连招判定与暴风骤雨般的摇滚战斗。,https://cdn.akamai.steamstatic.com/steam/apps/601150/library_600x900.jpg,2026-07-15,2026-08-10,Steam 平台 · 正版入库,展厅第5层 · 电子游戏神作馆,Steam 数字豪华版,
游戏,剑星,SHIFT UP · 金亨泰,动作冒险,读完,4.8,剑星、SHIFT UP、伊芙、硬核动作、末世地球,伊芙降临荒废地球，以最优雅凌厉的剑技驱散孽奇拔的阴霾，拯救人类残存火种。,兼具顶尖动作打击反馈与华丽韩系美学的 3A 动作新作。极度爽快的完美招架与处决演出。,https://lain.bgm.tv/pic/cover/l/d2/ef/283357_ZChZh.jpg,2026-07-15,2026-08-10,Steam 平台 · 正版入库,展厅第5层 · 电子游戏神作馆,Steam 数字豪华版,
游戏,明末：渊虚之羽,灵泽科技,国风魂系动作,wishlist,4.8,明末蜀地、古蜀文明、国风魂系、三星堆、动作RPG,明末乱世，羽化怪病肆虐蜀地。无常少女拔剑斩妖，探寻古蜀文明与宿命秘辛！,备受期待的明末古蜀题材国风魂系动作大作。将三星堆、金沙古蜀文明与克苏鲁式羽化异变完美交融。,https://lain.bgm.tv/pic/cover/l/9b/29/498460_DFndm.jpg,2026-07-15,2026-08-10,Steam 平台 · 正版入库,展厅第5层 · 电子游戏神作馆,Steam 数字豪华版,
游戏,女神异闻录5皇家版,ATLUS · P-Studio,日系角色扮演,读完,5.0,P5天下第一、JRPG巅峰、心之怪盗团、潮酷美学、神作,夺取那些腐朽大人的扭曲欲望，在这个无可救药的世界中贯彻属于心之怪盗团的正义！Take Your Heart!,天下第一的 JRPG 殿堂神作。无与伦比的潮爆 UI 视觉语言、酸爵士配乐与白天高中生活、夜晚怪盗夺心双重人生的完美融合。,https://cdn.akamai.steamstatic.com/steam/apps/1687950/header.jpg,2026-07-15,2026-08-10,Steam 平台 · 正版入库,展厅第5层 · 电子游戏神作馆,Steam 数字豪华版,
游戏,女神异闻录3 Reload,ATLUS · P-Studio,日系角色扮演,读完,4.9,P3R、铭记死亡、影时间、ATLUS、神作重制,Memento Mori（铭记死亡）。在影时间中直面终焉与救赎，化作永恒的迎春花。,P3 系列的终极完全重制。深邃的生死哲学命题、鞑靼罗斯之塔探索与经典人格面具召唤，催人泪下的灵魂篇章。,https://cdn.akamai.steamstatic.com/steam/apps/2179850/library_600x900.jpg,2026-07-15,2026-08-10,Steam 平台 · 正版入库,展厅第5层 · 电子游戏神作馆,Steam 数字豪华版,
游戏,女神异闻录4 黄金版,ATLUS · P-Studio,日系角色扮演,读完,4.9,P4G、八十稻羽、深夜电视、真理追寻、黄金青春,拨开深夜电视的迷雾，追寻无可取代的羁绊与唯一的真实。,充满稻羽市乡村阳光与青春回忆的侦探物语。自称特别搜查队的伙伴们在电视世界中直面真实自我的温暖传奇。,https://cdn.akamai.steamstatic.com/steam/apps/1221250/library_600x900.jpg,2026-07-15,2026-08-10,Steam 平台 · 正版入库,展厅第5层 · 电子游戏神作馆,Steam 数字豪华版,
游戏,暗喻幻想：ReFantazio,ATLUS · Studio Zero · 桥野桂,日系角色扮演,读完,5.0,桥野桂、ATLUS、选举之王、年度RPG、幻想史诗,打破血统与种族的枷锁，在没有偏见的幻想世界中，为人民加冕为王！,桥野桂、副岛成记、目黑将司铁三角打造的全新幻想 RPG 巅峰。探讨焦虑与乌托邦政治选举的哲学巨作。,https://cdn.akamai.steamstatic.com/steam/apps/2670770/library_600x900.jpg,2026-07-15,2026-08-10,Steam 平台 · 正版入库,展厅第5层 · 电子游戏神作馆,Steam 数字豪华版,
游戏,神之天平（ASTLIBRA Revision）,KEIZO · DX Library,横版动作RPG,读完,5.0,神作、神级剧本、一人十四年、时间跨越、热血反转,跨越十四年的时光执念，与乌鸦嘉隆一同拨动命运的天平，向神明挥剑！,一人独立开发十四年的传世独立神作。无可挑剔的剧本层层反转、极度爽快的横版刷宝战斗与宏大的宿命交响。,https://cdn.akamai.steamstatic.com/steam/apps/1718570/library_600x900.jpg,2026-07-15,2026-08-10,Steam 平台 · 正版入库,展厅第5层 · 电子游戏神作馆,Steam 数字豪华版,
